FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
327, 926, 113, 10, 68, 1079, 5881, 3898, 11976
328, 842, 149, 9, 148, 1036, 5123, 4275, 11584
329, 1221, 1809, 2235, 478, 1180, 5588, 4212, 16725
330, 958, 489, 30, 99, 1127, 4929, 4073, 11708
331, 1064, 1909, 2156, 595, 1055, 5994, 4711, 17486
332, 902, 399, 19, 105, 1108, 7561, 4553, 14649
333, 929, 2935, 2272, 549, 1484, 6195, 5253, 19619
334, 982, 461, 21, 257, 1545, 6429, 4935, 14633
335, 743, 1627, 2423, 650, 1352, 5652, 5441, 17890
336, 955, 833, 2336, 4391, 1115, 8273, 8478, 26383
337, 1170, 1785, 2419, 764, 1172, 5554, 5249, 18116
338, 905, 461, 29, 135, 1227, 6109, 5155, 14022
339, 1313, 1936, 2518, 595, 1166, 5697, 5657, 18883
340, 1187, 482, 28, 113, 1255, 6302, 4923, 14292
341, 1254, 1857, 2598, 481, 1356, 5783, 5107, 18438
342, 1723, 439, 28, 176, 1252, 6227, 4973, 14820
343, 1427, 303, 143, 232, 1520, 6250, 4848, 14724
344, 2047, 2015, 2066, 645, 1144, 5260, 4704, 17882
345, 1660, 547, 227, 435, 1442, 5469, 5439, 15221
346, 1984, 1748, 2033, 770, 1238, 4949, 4545, 17269
347, 1760, 760, 32, 226, 1153, 5653, 4215, 13800
348, 1231, 1701, 2132, 548, 1306, 4774, 4714, 16409
349, 1215, 495, 26, 102, 1306, 5761, 3967, 12874
350, 887, 1693, 2164, 656, 1333, 4847, 4650, 16232
351, 1238, 362, 15, 96, 1152, 5626, 5323, 13813
352, 1175, 1851, 2111, 545, 1143, 5033, 4522, 16382
353, 1147, 574, 28, 109, 1240, 5559, 4008, 12667
354, 1166, 1960, 2322, 607, 1121, 5003, 4572, 16752
355, 1753, 538, 29, 94, 1139, 5536, 4162, 13253
356, 1368, 1849, 2158, 746, 1127, 4948, 4557, 16755
357, 1188, 782, 31, 103, 1220, 5703, 4112, 13141
358, 838, 1696, 2574, 636, 1147, 4742, 4164, 15798
359, 1196, 671, 1856, 352, 1122, 4562, 3805, 13567
360, 1063, 2010, 2159, 512, 1104, 5000, 3726, 15575
361, 929, 769, 34, 100, 1139, 4541, 3655, 11167
362, 960, 1839, 1973, 480, 1098, 4129, 3632, 14113
