FrameID, Prepare, Placement, Opacity, Upload, Render, Total
435, 851, 651, 37, 78, 6396, 8015
436, 806, 1753, 1362, 371, 6007, 10300
437, 826, 546, 27, 142, 6739, 8282
438, 902, 1786, 1324, 378, 6010, 10402
439, 845, 550, 30, 76, 6696, 8199
440, 1193, 1527, 1309, 361, 6239, 10631
441, 789, 507, 23, 102, 6484, 7907
442, 911, 1724, 3668, 264, 5900, 12469
443, 643, 476, 15, 71, 6434, 7641
444, 956, 1939, 1695, 451, 7305, 12348
445, 1011, 537, 28, 222, 7353, 9153
446, 1081, 1637, 2542, 496, 7338, 13096
447, 880, 624, 229, 1282, 7751, 10767
448, 874, 1644, 1496, 476, 7277, 11768
449, 873, 543, 50, 124, 7984, 9575
450, 937, 1762, 1533, 605, 7604, 12443
451, 846, 550, 32, 94, 7680, 9203
452, 1065, 2042, 1437, 315, 7913, 12774
453, 1356, 460, 24, 70, 7515, 9426
454, 682, 1923, 1737, 409, 7214, 11967
455, 906, 555, 30, 79, 8222, 9794
456, 864, 1933, 1627, 442, 7277, 12144
457, 901, 544, 29, 90, 7683, 9248
458, 865, 1680, 1535, 667, 7305, 12053
459, 880, 684, 29, 75, 7594, 9265
460, 953, 1748, 1534, 416, 7389, 12044
461, 885, 558, 28, 95, 8152, 9721
462, 849, 2082, 1669, 434, 7398, 12435
463, 900, 543, 33, 95, 7836, 9410
464, 909, 1704, 1712, 625, 7463, 12415
465, 865, 692, 587, 386, 8023, 10556
466, 1147, 1359, 2126, 467, 7353, 12454
467, 969, 563, 190, 720, 8731, 11176
468, 881, 1863, 1713, 452, 7397, 12308
469, 914, 551, 263, 800, 8184, 10714
470, 962, 1696, 1653, 591, 7326, 12230
471, 845, 673, 34, 77, 7548, 9179
472, 915, 1730, 1575, 330, 7493, 12046
473, 710, 457, 21, 82, 8399, 9670
474, 936, 1805, 1492, 365, 7458, 12057
475, 863, 554, 31, 91, 7628, 9169
476, 897, 1789, 1774, 438, 7299, 12200
477, 913, 682, 30, 74, 7794, 9496
478, 876, 1789, 1763, 367, 7339, 12136
